seed,K,M,mv,isp,gap
1015,6,10000,0.9387,0.9543,0.015600000000000058
1016,6,10000,0.9421,0.9581,0.015999999999999903
1017,6,10000,0.9408,0.9585,0.01770000000000005
1018,6,10000,0.941,0.9596,0.01860000000000006
1019,6,10000,0.9407,0.9555,0.014800000000000035
1020,6,10000,0.9407,0.9571,0.01639999999999997
1021,6,10000,0.9418,0.9575,0.015700000000000047
1022,6,10000,0.9408,0.9578,0.017000000000000015
1023,6,10000,0.9403,0.9547,0.014399999999999968
1024,6,10000,0.9431,0.9576,0.014499999999999957
1025,6,10000,0.9401,0.9558,0.015699999999999936
1026,6,10000,0.9385,0.9517,0.01319999999999999
1027,6,10000,0.9426,0.9572,0.014600000000000057
1028,6,10000,0.9403,0.955,0.014699999999999935
1029,6,10000,0.9437,0.9586,0.014900000000000024
1030,6,10000,0.9423,0.9559,0.013599999999999945
1031,6,10000,0.9388,0.9561,0.017299999999999982
1032,6,10000,0.9406,0.9572,0.01660000000000006
1033,6,10000,0.9426,0.9572,0.014600000000000057
1034,6,10000,0.9435,0.959,0.015499999999999958
1035,6,10000,0.9405,0.9546,0.014100000000000001
1036,6,10000,0.9396,0.9558,0.016199999999999992
1037,6,10000,0.9435,0.9573,0.013800000000000034
1038,6,10000,0.9456,0.9598,0.01419999999999999
1039,6,10000,0.9377,0.9559,0.018199999999999994
1040,6,10000,0.9384,0.953,0.014599999999999946
1041,6,10000,0.9401,0.9592,0.019100000000000006
1042,6,10000,0.9409,0.9557,0.014800000000000035
1043,6,10000,0.9447,0.9601,0.01539999999999997
1044,6,10000,0.9422,0.9547,0.012499999999999956
1045,6,10000,0.9371,0.9552,0.018100000000000005
1046,6,10000,0.938,0.9524,0.01440000000000008
1047,6,10000,0.939,0.9528,0.013800000000000034
1048,6,10000,0.9382,0.9522,0.014000000000000012
1049,6,10000,0.9365,0.9519,0.01539999999999997
1050,6,10000,0.9413,0.956,0.014699999999999935
1051,6,10000,0.941,0.9583,0.017300000000000093
1052,6,10000,0.939,0.9564,0.017400000000000082
1053,6,10000,0.9347,0.9548,0.020100000000000007
1054,6,10000,0.939,0.9564,0.017400000000000082
1055,6,10000,0.9412,0.9572,0.016000000000000014
1056,6,10000,0.9388,0.9547,0.015900000000000025
1057,6,10000,0.9393,0.9565,0.017199999999999993
1058,6,10000,0.9384,0.9553,0.016900000000000026
1059,6,10000,0.9405,0.9561,0.015599999999999947
1060,6,10000,0.9426,0.9563,0.013700000000000045
1061,6,10000,0.9393,0.9563,0.017000000000000015
1062,6,10000,0.9407,0.9573,0.01660000000000006
1063,6,10000,0.9413,0.9544,0.0131
1064,6,10000,0.941,0.9588,0.017800000000000038
1065,6,10000,0.9402,0.9571,0.016899999999999915
1066,6,10000,0.9413,0.9556,0.01429999999999998
1067,6,10000,0.9373,0.9564,0.019100000000000006
1068,6,10000,0.9373,0.9516,0.01429999999999998
1069,6,10000,0.9421,0.9532,0.011099999999999999
1070,6,10000,0.937,0.9554,0.018399999999999972
1071,6,10000,0.9421,0.957,0.014899999999999913
1072,6,10000,0.9438,0.9586,0.014800000000000035
1073,6,10000,0.9436,0.96,0.01639999999999997
1074,6,10000,0.9385,0.9547,0.016199999999999992
